procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12736372 642736 1030424    0    0     0 19828 42049 72302 11 12 68  9  0  0 2026-09-08 15:07:54
11  1      0 12724804 644424 1031908    0    0     0 20276 42540 73363 13 11 67  9  0  0 2026-09-08 15:07:55
 3  1      0 12722732 645980 1033088    0    0     0 19984 42748 73648 11 12 67  9  0  0 2026-09-08 15:07:56
 1  1      0 12719756 647596 1034572    0    0     0 19652 41530 71439 13 12 66  9  0  0 2026-09-08 15:07:57
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 12712404 649092 1039772    0    0     0 24032 42072 72247 11 10 69 10  0  0 2026-09-08 15:07:58
 3  1      0 12705680 650748 1045584    0    0     0 23784 41333 70890 11 11 69  9  0  0 2026-09-08 15:07:59
 4  1      0 12702620 652328 1047840    0    0     0 20516 42040 72390 14 12 65  9  0  0 2026-09-08 15:08:00
 4  1      0 12699796 653972 1049104    0    0     0 20100 42609 73686 12 11 68 10  0  0 2026-09-08 15:08:01
 3  1      0 12695460 655672 1051424    0    0     0 21184 42907 73943 12 11 68  9  0  0 2026-09-08 15:08:02
 2  1      0 12691648 657388 1052604    0    0     0 19720 38724 67131 10 10 71  9  0  0 2026-09-08 15:08:03
 2  1      0 12688228 658932 1054932    0    0     0 20812 41514 71065 12 12 67  9  0  0 2026-09-08 15:08:04
 5  1      0 12684356 660520 1056252    0    0     0 20544 41971 72256 11 11 68  9  0  0 2026-09-08 15:08:05
 1  2      0 12681104 662168 1057596    0    0     0 20456 42402 72970 11 12 67  9  0  0 2026-09-08 15:08:06
 1  1      0 12676992 663948 1059868    0    0     0 21100 42053 72092 12 10 69  9  0  0 2026-09-08 15:08:07
 4  1      0 12673788 665520 1061352    0    0    16 20084 41565 71459 11 12 68  9  0  0 2026-09-08 15:08:08
 1  2      0 12670848 667180 1062584    0    0     0 20572 43568 75130 12 12 67  9  0  0 2026-09-08 15:08:09
 2  1      0 12660232 668804 1072112    0    0  8192 20852 43456 75414 12 12 66  9  0  0 2026-09-08 15:08:10
 1  1      0 12656252 670376 1073440    0    0     0 19952 42063 72546 12 12 67  9  0  0 2026-09-08 15:08:11
 3  2      0 12652536 671816 1074672    0    0     0 20452 42158 72952 13 10 68 10  0  0 2026-09-08 15:08:12
 2  1      0 12645668 673452 1081276    0    0     0 25832 42602 73163 11 12 68  9  0  0 2026-09-08 15:08:13
 2  1      0 12644400 674892 1082520    0    0     0 20064 42553 73370 13 12 66  9  0  0 2026-09-08 15:08:14
 1  2      0 12641784 676200 1083760    0    0     0 20724 42932 74029 12 11 67  9  0  0 2026-09-08 15:08:15
 6  1      0 12639144 677488 1085044    0    0     0 20572 42245 72834 11 12 68  9  0  0 2026-09-08 15:08:16
